id,name,location,city,state,interchange_railroads,capacity,hazmat_suited,rail_services,facility_types,track_types,about,url,scraped_at
280,"Omaha, Lincoln and Beatrice Railway","Lincoln, NE",Lincoln,NE,"BNSF, UP",425 total spaces,No,"Cherry Picking, Cleaning, Painting, Railcar Maintenance, Railcar Repair, Recertification, Stripe Aligning","Repair Shop, Short Line, Storage Yard",Ladder,,https://www.commtrex.com/railcar-storage/location/280.html,2026-02-10T02:17:29.445939
320,Nebraska Northwestern Railroad,"Chadron, NE",Chadron,NE,BNSF,850 total spaces,No,"Cherry Picking, Stripe Aligning",Storage Yard,"FILO, Ladder","NNW Railroad is a short line RR located in the Northwest portion of the panhandle of Nebraska.  We have storage capabilities of roughly 850 cars and we are currently in the process of doubling our capacity for storage.  WE interchange with RCP&E right outside of Chadron along with the BNSF in Crawford, NE.  We pride ourselves in service, flexibility and responsiveness.

The Nebraska Northwestern Railroad (reporting mark NNW) is a Class III railroad that began operations in April 2010 after it purchased 7.22 miles of former Dakota, Minnesota and Eastern, previously Chicago and Northwestern Railway Cowboy Line track between Dakota Junction and the rail yard at Chadron, Nebraska. In addition to the 7.22 miles of owned track, the railroad leased the line between the connection with the DME Rapid City line at Dakota Junction and the connection with BNSF Railway at Crawford, Nebraska.

Services offered include storage facilities, commodity movements, interchange movements and rail car maintenance and services.",https://www.commtrex.com/railcar-storage/location/320.html,2026-02-10T02:17:31.977387
133,Manning Rail inc,"Fairmont, NE",Fairmont,NE,BNSF,600 total spaces,Yes,none provided,Short Line,FILO,,https://www.commtrex.com/railcar-storage/location/133.html,2026-02-10T02:17:34.524557
31,"Grand Island, Nebraska","Grand Island, NE",Grand Island,NE,"BNSF, UP",300 total spaces,No,Railcar Repair,none provided,none provided,,https://www.commtrex.com/railcar-storage/location/31.html,2026-02-10T02:17:37.122378
32,"Hastings, Nebraska","Hastings, NE",Hastings,NE,"BNSF, UP",300 total spaces,No,Railcar Repair,none provided,none provided,,https://www.commtrex.com/railcar-storage/location/32.html,2026-02-10T02:17:39.578946
82,"Nebraska, Kansas, & Colorado Railway, LLC","Wallace, NE",Wallace,NE,BNSF,"1,200 total spaces",Yes,"Cleaning, Painting, Railcar Maintenance, Railcar Repair, Recertification","Short Line, Storage Yard","FILO, Ladder","Notwithstanding the foregoing, Railroad, at its sole discretion, may or may not allow the switching of specific railcar numbers out of storage.

Hazmat combustible & flammable storage may require local authorities approval.",https://www.commtrex.com/railcar-storage/location/82.html,2026-02-10T02:17:42.061820
590,Adams Industries Railcar Storage FacilityFeatured,"Sidney, NE",Sidney,NE,"BNSF, UP",900 total spaces,Yes,Cherry Picking,"Short Line, Storage Yard","Ladder, Loop","Adams Industries, Inc is located in Sidney Nebraska with access to both BNSF & UPRR. We have 75,000 feet of rail with our own switch engine and Tracmobile to move cars around the yard with ease.",https://www.commtrex.com/railcar-storage/location/590.html,2026-02-10T02:17:44.616144
536,"Omaha Track - Omaha, NE","Omaha, NE",Omaha,NE,UP,13 total spaces,No,Cherry Picking,Storage Yard,"FILO, Ladder","Omaha Track has been providing rail based services for over 35 years. Our Omaha, NE (Weco, NE is the rail station) facility has a trackmobile for interplant movements of cars, including cherry picks.",https://www.commtrex.com/railcar-storage/location/536.html,2026-02-10T02:17:47.164891
539,GRS Omaha,"Omaha, NE",Omaha,NE,"BNSF, UP",150 total spaces,No,"Cherry Picking, Cleaning, Painting, Railcar Repair, Recertification",Repair Shop,"FILO, Ladder",,https://www.commtrex.com/railcar-storage/location/539.html,2026-02-10T02:17:49.655598
180,SMS Rail Service,"Bridgeport, NJ",Bridgeport,NJ,"CSX, NS",500 total spaces,Yes,Cherry Picking,"Short Line, Storage Yard",none provided,"SMS, a Class III rail carrier, is a one-stop provider of rail distribution and logistics services to businesses, both domestically and globally. We provide 24/7/365 on-demand switching, transloading and trucking services at properties that are 286K and Plate F capable.",https://www.commtrex.com/railcar-storage/location/180.html,2026-02-10T02:17:52.112353
